StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS22957-022,D.K.Lai ApJ 681 1524 2008,00 01 45.50,-05 49 46.6,5163,2.47,-2.9,-2.93,0.03,-0.31,0.16,-0.34,0.06,-0.03,0.08,,,,,,,<-0.1,,,,,,,,,,091 40 58.65,-65 38 27.95,-39.258,1336.14,-2952.39,,,,
CS22957-024,I.U.Roederer AJ 147 136 2014,23 58 34.50,-04 33 25.4,6160,3.75,-2.81,-2.91,0.22,0.09,0.2,,,<0.69,,<2.91,,,,,,<1.14,,<3.12,,<2.36,,<2.82,,,,,,,,,,,,
CS22957-026,I.U.Roederer AJ 147 136 2014,00 00 02.14,-04 07 08.5,6120,3.9,-1.89,-1.93,0.21,0.24,0.22,-0.24,0.17,0.3,0.15,<2.07,,,,,,0.41,0.22,<1.65,,,,<2.07,,,,,,,,,,,,
CS22957-027,I.U.Roederer AJ 147 136 2014,23 59 13.10,-03 53 49.0,5220,2.65,-3,-3.19,0.14,-0.56,0.18,,,,,,,,,,,<1.07,,<2.72,,<3.03,,<2.67,,,,092 26 19.84,-63 37 59.77,-57.761,1356.15,-2738.42,1.279,-30.039,60.657,-67.7
CS22957-027,I.U.Roederer ApJ 784 158 2014,23 59 13.10,-03 53 49.0,5220,2.65,-3,-3.19,0.14,-0.56,0.18,,,,,,,,,,,<1.07,,<2.72,,<3.03,,<2.67,,,,092 26 19.84,-63 37 59.77,-57.761,1356.15,-2738.42,1.414,-33.19,67.019,-74.8
CS22957-036,I.U.Roederer AJ 147 136 2014,00 03 31.35,-04 44 22.5,5970,3.75,-2.09,-2.28,0.21,0.39,0.23,,,0.59,0.16,<2.31,,,,,,0.74,0.17,<1.91,,<1.6,,<2.35,,,,,,,,,,,,
CS22958-037,I.U.Roederer AJ 147 136 2014,01 58 39.70,-57 03 26.9,5770,2.1,-2.51,-2.51,0.17,-0.08,0.24,-0.43,0.18,0.07,0.17,<1.95,,,,,,0.51,0.16,<1.39,,<1.25,,<1.75,,,,,,,,,,,,
CS22958-041,I.U.Roederer AJ 147 136 2014,02 01 44.53,-56 47 26.3,6010,3.65,-2.88,-3.1,0.21,-0.16,0.17,<1.1,,<0.96,,<3.6,,,,,,<1.48,,<2.72,,<2.66,,<3.15,,,,,,,,,,,,
CS22958-042,I.U.Roederer AJ 147 136 2014,02 01 07.43,-57 16 58.8,5760,3.55,-2.99,-3.4,0.21,0.08,0.14,,,,,<3.65,,,,,,<1.54,,,,<3.72,,<3.3,,,,285 26 42.02,-57 24 58.83,303.429,-1098.22,-1782.7,23.75,-85.96,-139.536,165.6
CS22958-042,I.U.Roederer ApJ 784 158 2014,02 01 07.43,-57 16 58.8,5760,3.55,-2.99,-3.4,0.21,0.08,0.14,,,,,<3.65,,,,,,<1.54,,,,<3.72,,<3.3,,,,285 26 42.02,-57 24 58.83,303.429,-1098.22,-1782.7,23.75,-85.96,-139.536,165.6
